filename,size->mean(stdev),time->mean(stdev),cycles->mean(stdev)
input_graphs/anna.col,11.0000(0.0000),17.3821(2.9150),7.6667(2.0548)
input_graphs/brock200_2.clq,11.3333(0.4714),5119.1364(5818.3454),380.6667(428.1015)
input_graphs/brock200_4.clq,16.0000(0.0000),4587.0784(2452.6045),214.0000(115.3459)
input_graphs/C125.9.clq,34.0000(0.0000),7312.1194(1569.4993),180.0000(35.3365)
input_graphs/hamming8-4.clq,16.0000(0.0000),2972.3932(1211.3228),99.6667(40.5490)
input_graphs/homer.col,13.0000(0.0000),35.6072(9.5215),8.3333(2.8674)
input_graphs/huck.col,11.0000(0.0000),6.3367(2.9980),1.6667(0.9428)
input_graphs/keller4.clq,11.0000(0.0000),430.4737(268.4695),22.6667(14.2906)
input_graphs/le450_15b.col,15.0000(0.0000),46.2518(5.4017),1.0000(0.0000)
input_graphs/le450_15c.col,15.0000(0.0000),88.3558(12.4640),1.0000(0.0000)
input_graphs/le450_15d.col,15.0000(0.0000),97.6044(13.0694),1.0000(0.0000)
input_graphs/le450_25a.col,25.0000(0.0000),54.3068(7.1327),1.0000(0.0000)
input_graphs/le450_25c.col,25.0000(0.0000),93.1052(4.8680),1.0000(0.0000)
input_graphs/le450_25d.col,25.0000(0.0000),92.7987(10.9414),1.0000(0.0000)
input_graphs/le450_5a.col,5.0000(0.0000),32.3412(3.2319),1.3333(0.4714)
input_graphs/le450_5b.col,5.0000(0.0000),29.1344(3.7742),1.0000(0.0000)
input_graphs/le450_5c.col,5.0000(0.0000),51.2564(9.2704),1.0000(0.0000)
input_graphs/le450_5d.col,5.0000(0.0000),48.9117(1.7215),1.0000(0.0000)
input_graphs/miles250.col,8.0000(0.0000),10.1930(3.3410),4.6667(2.4944)
input_graphs/p_hat300-1.clq,8.0000(0.0000),1119.9230(493.6161),81.0000(38.2884)
input_graphs/p_hat300-2.clq,25.0000(0.0000),5640.9772(916.1400),162.0000(26.1916)
